x,y
0,0
0,1
0,2
0,3
1,3
1,4
2,4
2,5
3,5
3,6
4,6
5,6
5,5
5,4
5,3
4,3
3,3
2,3
2,2
2,1
2,0
3,0
4,0
5,0
5,1
6,1
7,1
8,1
9,1
9,0
10,0
11,0
12,0
12,1
12,2
12,3
13,3
14,3
15,3
15,4
15,5
15,6
14,6
14,7
14,8
14,9
14,10
14,11
13,11
13,10
13,9
12,9
11,9
11,8
12,8
12,7
11,7
10,7
9,7
9,6
8,6
7,6
6,6
6,7
6,8
7,8
7,7
